	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	std_atu	std_atu	std_atu	std_atu	std_atu	std_atu	std_atu	std_atu	std_dsu	std_dsu	std_dsu	std_dsu	std_dsu	std_dsu	std_dsu	std_dsu	std_duracao	std_duracao	std_duracao	std_duracao	std_duracao	std_duracao	std_duracao	std_duracao
																								
2008.ano	1.446***	1.435***	1.046	-0.944	0.260	0.197	0.816	0.516	0.988***	0.830**	0.235	0.553*	0.449	0.324	1.630**	1.676**		0.070	0.118	0.235***		-0.003	1.171	1.289
	(0.512)	(0.517)	(1.622)	(0.000)	(0.718)	(0.689)	(0.664)	(0.671)	(0.361)	(0.395)	(0.347)	(0.303)	(0.824)	(0.801)	(0.762)	(0.743)		(0.079)	(0.000)	(0.001)		(0.008)	(1.065)	(1.096)
2009o.ano	-	-	-	-					-	-	-	-					-	-	-	-	-			
																								
2010.ano	-0.507	-0.507	0.695	0.695	-0.116	0.623	0.761**	0.761**	0.859	0.859	-0.460	-0.558	-0.088	-0.032	0.000	0.000		0.000	0.000	-0.000		-0.011	-0.000	-0.000
	(0.778)	(0.786)	(0.772)	(0.000)	(0.809)	(0.662)	(0.351)	(0.354)	(0.802)	(0.812)	(0.508)	(0.506)	(0.262)	(0.334)	(0.770)	(0.719)		(0.000)	(0.000)	(.)		(0.010)	(.)	(0.000)
2011o.ano	-	-																			-			
																								
2012.ano	0.254	-0.380	0.088	0.151	-0.415	-0.589	-0.207	-0.416	2.887***	1.690*	1.027**	1.359***	2.285**	1.963**	2.186**	2.208***	-1.130	-1.625**	0.000	-0.005		-0.004	-0.385	-0.311
	(1.073)	(1.142)	(0.345)	(0.000)	(1.272)	(1.232)	(0.757)	(0.815)	(0.445)	(0.903)	(0.509)	(0.435)	(1.025)	(0.966)	(0.864)	(0.821)	(0.000)	(0.758)	(0.000)	(0.005)		(0.006)	(1.502)	(1.501)
2013o.ano	-	-															-	-			-			
																								
2014o.ano		-															-	-			-			
																								
2015o.ano	-	-			-	-				-			-	-			-	-			-	-		
																								
trat1	1.133	1.842							1.241	1.146							-0.000							
	(1.080)	(1.154)							(1.183)	(1.182)							(0.000)							
_webal1		-0.033								-0.088								0.214						
		(0.126)								(0.085)								(0.140)						
2014.ano	-0.068		-1.594	0.534	-0.910	-1.580	1.195	0.967	2.783***	2.050**	-0.513	0.062	1.213	1.125	2.138	2.178			0.283	0.282		0.059*	-1.356	-1.602
	(1.080)		(1.228)	(0.000)	(1.456)	(1.349)	(1.012)	(1.018)	(0.722)	(0.944)	(0.714)	(0.694)	(1.079)	(1.026)	(2.204)	(2.067)			(0.000)	(0.231)		(0.032)	(1.396)	(1.720)
2011.ano			-0.978	0.151	0.088	0.213	1.568*	1.183	2.345***	1.260	0.259	1.044	0.996	1.217	4.386***	4.306***	-1.193	-1.720**	0.283	0.278		0.002	-3.113	-3.424
			(0.619)	(0.000)	(1.241)	(1.192)	(0.861)	(0.911)	(0.331)	(0.990)	(0.828)	(0.707)	(0.997)	(0.908)	(1.420)	(1.342)	(0.000)	(0.762)	(0.000)	(0.231)		(0.004)	(1.949)	(2.163)
2013.ano			1.565*	1.010	-0.664	-1.241	-2.178**	-2.348*	4.023***	3.224**	0.046	-0.006	2.292*	2.272*	-0.912	-0.943			-0.283	-0.275		0.021	-0.385	-0.379
			(0.855)	(0.000)	(1.792)	(1.687)	(1.087)	(1.265)	(1.475)	(1.510)	(0.731)	(0.683)	(1.279)	(1.271)	(1.494)	(1.429)			(0.000)	(0.231)		(0.015)	(1.502)	(1.507)
2015.ano			-1.245	-0.907			0.000	-0.001	4.583***		-0.869	-1.040			0.000	0.039			0.000	0.006			-0.000	0.035
			(0.870)	(0.000)			(0.351)	(0.357)	(1.475)		(0.711)	(0.670)			(1.333)	(1.246)			(0.000)	(0.008)			(0.000)	(0.088)
trat2			1.617***	0.517							-0.028	-0.471							-0.283	-0.280				
			(0.619)	(0.000)							(0.655)	(0.618)							(0.000)	(0.231)				
_webal2				-0.158								-0.000								0.012				
				(0.000)								(0.051)								(0.012)				
2009.ano					2.574***	2.713***	1.294***	1.292***					2.148***	2.113***	-0.000	0.041						-0.034*	0.000	0.037
					(0.438)	(0.477)	(0.345)	(0.353)					(0.440)	(0.449)	(0.644)	(0.602)						(0.020)	(.)	(0.093)
trat3					0.094	0.121							1.079*	1.164**								-0.023		
					(0.816)	(0.772)							(0.551)	(0.578)								(0.015)		
_webal3						-0.281**								0.071								0.069*		
						(0.118)								(0.063)								(0.036)		
trat4							-1.385***	-1.160**							-2.320**	-2.254**							1.356	1.697
							(0.482)	(0.463)							(1.141)	(1.079)							(1.396)	(1.704)
_webal4								0.002								-0.090*								-0.080
								(0.114)								(0.046)								(0.203)
2008o.ano																	-				-			
																								
2010o.ano																	-				-			
																								
o.trat1																		-						
																								
2012o.ano																					-			
																								
o.trat3																					-			
																								
Constant	-0.688***	-0.869**	-0.429	-0.095	0.036	0.402	0.213	0.289	-2.725***	-1.557*	0.076	0.110	-1.463**	-1.442**	-0.187	-0.087	0.295	0.237	0.063	0.054	-0.043	-0.080**	0.149	0.177
	(0.165)	(0.381)	(0.394)	(0.000)	(0.793)	(0.768)	(0.300)	(0.331)	(0.864)	(0.803)	(0.388)	(0.356)	(0.657)	(0.643)	(0.522)	(0.495)	(0.000)	(0.182)	(0.000)	(0.054)	(0.000)	(0.034)	(0.448)	(0.466)
																								
Observations	3,312	2,920	3,777	3,347	4,290	3,797	3,920	3,589	3,975	3,394	4,343	3,771	4,795	4,153	4,367	3,896	3,371	2,965	3,812	3,370	4,323	3,824	3,953	3,612
R-squared	0.497	0.523	0.492	0.487	0.383	0.396	0.470	0.467	0.494	0.492	0.468	0.458	0.452	0.468	0.468	0.476	0.690	0.693	0.712	0.708	0.594	0.600	0.630	0.628
Robust standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
