	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)
VARIABLES	ird	std_ird	adf_ai_1	std_adf_ai_1	adf_ai_3	std_adf_ai_3	adf_ai_5	std_adf_ai_5	atu_5	std_atu_5	dsu_ai	std_dsu_ai	dur_5	std_dur_5	icg	std_icg	ied_ai_3	std_ied_ai_3	pca	pca_padronizado	ird	std_ird	adf_ai_1	std_adf_ai_1	adf_ai_3	std_adf_ai_3	adf_ai_5	std_adf_ai_5	atu_5	std_atu_5	dsu_ai	std_dsu_ai	dur_5	std_dur_5	icg	std_icg	ied_ai_3	std_ied_ai_3	pca	pca_padronizado	ird	std_ird	adf_ai_1	std_adf_ai_1	adf_ai_3	std_adf_ai_3	adf_ai_5	std_adf_ai_5	atu_5	std_atu_5	dsu_ai	std_dsu_ai	dur_5	std_dur_5	icg	std_icg	ied_ai_3	std_ied_ai_3	pca	pca_padronizado	ird	std_ird	adf_ai_1	std_adf_ai_1	adf_ai_3	std_adf_ai_3	adf_ai_5	std_adf_ai_5	atu_5	std_atu_5	dsu_ai	std_dsu_ai	dur_5	std_dur_5	icg	std_icg	ied_ai_3	std_ied_ai_3	pca	pca_padronizado
																																																																																
mtrat1_lp	0.561***	0.735***	-26.779*	-0.858*	23.004	0.913	-1.168	-0.034	-7.818***	-1.104***	-1.105	-0.031	0.121	0.002	-0.345	-0.240	-29.021***	-0.953***	-1.330	-8.133																																																												
	(0.191)	(0.251)	(16.004)	(0.513)	(15.168)	(0.602)	(11.400)	(0.335)	(2.328)	(0.329)	(17.665)	(0.489)	(0.787)	(0.011)	(0.748)	(0.520)	(8.053)	(0.264)	(0.972)	(5.945)																																																												
_mwebal1_lp	0.180**	0.235**	4.363	0.140	2.369	0.094	-5.553	-0.163	-0.201	-0.028	5.497	0.152	-1.005	-0.014	-0.263*	-0.183*	4.893	0.161	-0.227	-1.391																																																												
	(0.073)	(0.096)	(3.300)	(0.106)	(2.937)	(0.117)	(3.744)	(0.110)	(0.861)	(0.122)	(4.431)	(0.123)	(6.485)	(0.092)	(0.153)	(0.106)	(3.287)	(0.108)	(0.211)	(1.288)																																																												
mtrat2_lp																					1.300***	1.704***	13.347	0.428	-26.610**	-1.056**	14.632	0.430	0.146	0.021	10.591	0.293	0.735	0.010	-1.205	-0.838	-11.610	-0.381	0.499	3.051																																								
																					(0.344)	(0.451)	(10.471)	(0.336)	(12.073)	(0.479)	(14.330)	(0.421)	(4.885)	(0.690)	(10.035)	(0.278)	(1.803)	(0.026)	(0.867)	(0.603)	(10.438)	(0.343)	(0.439)	(2.686)																																								
_mwebal2_lp																					0.083	0.109	0.473	0.015	2.133	0.085	-2.335	-0.069	-1.437	-0.203	2.082	0.058	-2.572	-0.036	-0.105	-0.073	0.797	0.026	-0.162	-0.988																																								
																					(0.081)	(0.106)	(3.648)	(0.117)	(2.937)	(0.117)	(3.870)	(0.114)	(1.023)	(0.144)	(4.645)	(0.128)	(6.282)	(0.089)	(0.176)	(0.122)	(3.872)	(0.127)	(0.256)	(1.563)																																								
mtrat1_mt																																									0.551***	0.723***	-27.036*	-0.866*	22.913	0.909	-0.837	-0.025	-7.915***	-1.118***	-1.394	-0.039	0.333	0.005	-0.343	-0.239	-29.170***	-0.957***	-1.341	-8.199																				
																																									(0.190)	(0.250)	(15.968)	(0.512)	(15.175)	(0.602)	(11.334)	(0.333)	(2.317)	(0.327)	(17.599)	(0.487)	(1.016)	(0.014)	(0.751)	(0.522)	(7.969)	(0.262)	(0.975)	(5.965)																				
_mwebal1_mt																																									0.204***	0.268***	5.060	0.162	2.430	0.096	-6.459*	-0.190*	0.547	0.077	7.107	0.197	-2.151	-0.030	-0.218	-0.151	4.776	0.157	0.019	0.117																				
																																									(0.072)	(0.095)	(3.234)	(0.104)	(3.042)	(0.121)	(3.795)	(0.111)	(0.853)	(0.121)	(4.584)	(0.127)	(6.464)	(0.092)	(0.156)	(0.108)	(3.533)	(0.116)	(0.215)	(1.315)																				
mtrat2_mt																																																													1.332***	1.746***	13.649	0.437	-26.328**	-1.045**	14.036	0.412	0.258	0.036	10.734	0.297	0.773	0.011	-1.197	-0.832	-12.082	-0.397	0.504	3.085
																																																													(0.341)	(0.447)	(10.439)	(0.335)	(12.022)	(0.477)	(14.268)	(0.419)	(4.894)	(0.691)	(10.015)	(0.277)	(1.763)	(0.025)	(0.868)	(0.604)	(10.446)	(0.343)	(0.443)	(2.709)
_mwebal2_mt																																																													-0.036	-0.047	-0.694	-0.022	1.368	0.054	-0.296	-0.009	-2.178**	-0.308**	1.766	0.049	-3.223	-0.046	-0.160	-0.111	2.914	0.096	-0.217	-1.330
																																																													(0.074)	(0.097)	(3.647)	(0.117)	(2.684)	(0.106)	(3.997)	(0.117)	(1.038)	(0.146)	(4.875)	(0.135)	(7.314)	(0.104)	(0.166)	(0.116)	(3.768)	(0.124)	(0.263)	(1.606)
Constant	2.686***	-0.427***	46.923***	0.224	8.434	-0.521**	37.849***	0.154	23.650***	0.384**	63.979***	-0.094	270.709***	0.182**	3.837***	0.588***	41.227***	0.289**	0.557	53.408***	2.552***	-0.603***	38.321***	-0.052	29.552***	0.317	23.618***	-0.264	22.635***	0.241	68.196***	0.023	264.746***	0.098	4.148***	0.805***	37.648***	0.172	0.141	50.862***	2.659***	-0.462***	48.009***	0.258	8.723	-0.510*	36.530***	0.115	23.196***	0.320*	65.528***	-0.051	271.061***	0.187**	3.768***	0.540**	41.827***	0.309**	0.516	53.158***	2.641***	-0.486***	37.631***	-0.074	29.595***	0.318	24.274***	-0.245	23.072***	0.303	65.575***	-0.049	265.774***	0.112	4.216***	0.852***	35.827***	0.112	0.036	50.220***
	(0.099)	(0.129)	(7.107)	(0.228)	(6.570)	(0.261)	(5.554)	(0.163)	(1.177)	(0.166)	(8.001)	(0.221)	(5.092)	(0.072)	(0.327)	(0.228)	(4.223)	(0.139)	(0.427)	(2.611)	(0.144)	(0.189)	(4.781)	(0.153)	(5.150)	(0.204)	(6.206)	(0.182)	(2.052)	(0.290)	(5.054)	(0.140)	(4.479)	(0.063)	(0.357)	(0.248)	(4.888)	(0.160)	(0.244)	(1.489)	(0.097)	(0.128)	(7.089)	(0.227)	(6.614)	(0.262)	(5.522)	(0.162)	(1.176)	(0.166)	(8.028)	(0.222)	(5.279)	(0.075)	(0.328)	(0.228)	(4.287)	(0.141)	(0.433)	(2.646)	(0.142)	(0.187)	(4.790)	(0.154)	(5.069)	(0.201)	(6.221)	(0.183)	(2.049)	(0.289)	(5.174)	(0.143)	(5.105)	(0.072)	(0.357)	(0.248)	(4.897)	(0.161)	(0.250)	(1.529)
																																																																																
