	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)
VARIABLES	ird	std_ird	adf_ai_1	std_adf_ai_1	adf_ai_3	std_adf_ai_3	adf_ai_5	std_adf_ai_5	atu_2	std_atu_2	dsu_ai	std_dsu_ai	dur_2	std_dur_2	icg	std_icg	ied_ai_3	std_ied_ai_3	pca	pca_padronizado	ird	std_ird	adf_ai_1	std_adf_ai_1	adf_ai_3	std_adf_ai_3	adf_ai_5	std_adf_ai_5	atu_2	std_atu_2	dsu_ai	std_dsu_ai	dur_2	std_dur_2	icg	std_icg	ied_ai_3	std_ied_ai_3	pca	pca_padronizado
																																								
mtrat1	0.683**	0.895**	-8.883	-0.285	26.768	1.062	-16.830***	-0.494***	6.894	1.119	15.211**	0.421**	2.540	0.036	-0.719	-0.500	-23.470***	-0.770***																						
	(0.308)	(0.403)	(17.803)	(0.571)	(17.344)	(0.688)	(5.989)	(0.176)	(4.579)	(0.743)	(7.435)	(0.206)	(6.082)	(0.085)	(0.630)	(0.438)	(7.597)	(0.249)																						
_mwebal1	0.179***	0.235***	-0.269	-0.009	1.116	0.044	-0.123	-0.004	-0.868	-0.141	-0.712	-0.020	20.730**	0.291**	-0.188	-0.131	0.238	0.008	-0.038	-0.229																				
	(0.058)	(0.076)	(3.338)	(0.107)	(2.157)	(0.086)	(4.007)	(0.118)	(0.720)	(0.117)	(4.807)	(0.133)	(9.629)	(0.135)	(0.119)	(0.083)	(3.602)	(0.118)	(0.341)	(2.068)																				
o.mtrat1																			-	-																				
																																								
mtrat2																					0.630***	0.825***	-32.745***	-1.049***	-6.896	-0.274	34.684***	1.018***	-0.445	-0.072	-39.748***	-1.099	-3.037	-0.043	-0.231	-0.160	-24.425*	-0.802*	-2.562***	-15.524
																					(0.224)	(0.293)	(10.063)	(0.323)	(9.754)	(0.387)	(6.595)	(0.194)	(1.704)	(0.277)	(0.169)	(0.000)	(2.695)	(0.038)	(0.431)	(0.300)	(14.237)	(0.467)	(0.010)	(0.000)
_mwebal2																					0.196**	0.256**	0.227	0.007	-4.753*	-0.189*	5.360	0.157	-1.184	-0.192	-5.127	-0.142	10.111	0.142	-0.210	-0.146	1.120	0.037	-0.303	-1.834
																					(0.081)	(0.106)	(3.478)	(0.111)	(2.793)	(0.111)	(3.266)	(0.096)	(0.763)	(0.124)	(3.437)	(0.000)	(7.535)	(0.106)	(0.162)	(0.112)	(2.888)	(0.095)	(0.210)	(0.000)
Constant	2.628***	-0.502***	46.429***	0.208	8.236	-0.529*	35.602***	0.088	16.815***	-0.355	66.847***	-0.014	248.394***	-0.128	3.891***	0.626***	43.310***	0.358**	0.120	50.728***	2.678***	-0.437***	57.673***	0.568***	27.354***	0.229	8.934**	-0.695***	20.777***	0.288**	94.470***	0.750	259.222***	0.024	3.732***	0.516***	42.602***	0.334	1.478***	58.955
	(0.133)	(0.175)	(7.710)	(0.247)	(7.188)	(0.285)	(4.166)	(0.122)	(2.002)	(0.325)	(5.019)	(0.139)	(8.415)	(0.118)	(0.272)	(0.189)	(4.355)	(0.143)	(0.265)	(1.608)	(0.107)	(0.141)	(4.756)	(0.152)	(4.452)	(0.177)	(3.539)	(0.104)	(0.867)	(0.141)	(2.824)	(0.000)	(5.435)	(0.076)	(0.210)	(0.146)	(6.191)	(0.203)	(0.170)	(0.000)
																																								
Observations	2,425	2,425	2,214	2,214	2,214	2,214	2,214	2,214	1,625	1,625	1,689	1,689	1,754	1,754	2,434	2,434	2,214	2,214	1,188	1,188	2,546	2,546	2,412	2,412	2,412	2,412	2,412	2,412	1,902	1,902	1,753	1,753	2,074	2,074	2,546	2,546	2,412	2,412	1,351	1,351
R-squared	0.381	0.381	0.425	0.425	0.452	0.452	0.434	0.434	0.405	0.405	0.461	0.461	0.703	0.703	0.350	0.350	0.389	0.389	0.606	0.606	0.388	0.388	0.466	0.466	0.415	0.415	0.398	0.398	0.322	0.322	0.444	0.444	0.640	0.640	0.314	0.314	0.390	0.390	0.545	0.545
Robust standard errors in parentheses																																								
*** p<0.01, ** p<0.05, * p<0.1																																								
