	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	std_ird	std_ird	std_adf_ai_1	std_adf_ai_1	std_adf_ai_3	std_adf_ai_3	std_adf_ai_5	std_adf_ai_5	std_icg	std_icg	std_ied_ai_3	std_ied_ai_3	atu_2	atu_2	dur_2	dur_2	std_dsu_ai	std_dsu_ai	std_pca	std_pca
																				
mtrat1	0.895**		-0.285		1.062		-0.494***		-0.500		-0.770***		6.894		2.540		0.421**		-0.199	
	(0.403)		(0.571)		(0.688)		(0.176)		(0.438)		(0.249)		(4.579)		(6.082)		(0.206)		(0.291)	
_mwebal1	0.235***		-0.009		0.044		-0.004		-0.131		0.008		-0.868		20.730**		-0.020		-0.026	
	(0.076)		(0.107)		(0.086)		(0.118)		(0.083)		(0.118)		(0.720)		(9.629)		(0.133)		(0.144)	
mtrat2		0.825***		-1.049***		-0.274		1.018***		-0.160		-0.802*		-0.445		-3.037		-1.099***		-1.407***
		(0.293)		(0.323)		(0.387)		(0.194)		(0.300)		(0.467)		(1.704)		(2.695)		(0.005)		(0.230)
_mwebal2		0.256**		0.007		-0.189*		0.157		-0.146		0.037		-1.184		10.111		-0.142		0.027
		(0.106)		(0.111)		(0.111)		(0.096)		(0.112)		(0.095)		(0.763)		(7.535)		(0.095)		(0.109)
Constant	-0.502***	-0.437***	0.208	0.568***	-0.529*	0.229	0.088	-0.695***	0.626***	0.516***	0.358**	0.334	16.815***	20.777***	248.394***	259.222***	-0.014	0.750***	0.157	0.614***
	(0.175)	(0.141)	(0.247)	(0.152)	(0.285)	(0.177)	(0.122)	(0.104)	(0.189)	(0.146)	(0.143)	(0.203)	(2.002)	(0.867)	(8.415)	(5.435)	(0.139)	(0.078)	(0.169)	(0.120)
																				
Observations	2,425	2,546	2,214	2,412	2,214	2,412	2,214	2,412	2,434	2,546	2,214	2,412	1,625	1,902	1,754	2,074	1,689	1,753	1,752	2,074
R-squared	0.381	0.388	0.425	0.466	0.452	0.415	0.434	0.398	0.350	0.314	0.389	0.390	0.405	0.322	0.703	0.640	0.461	0.444	0.595	0.561
Robust standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
